"Serial Number","List Year","Date Recorded","Assessed Value","Sale Amount","Sales Ratio"
"200283","2020","04/12/2021","267710.00","300000.00","0.892366667"
"2020397","2020","09/03/2021","182300.00","322500.00","0.5652"
"200239","2020","07/30/2021","148400.00","249900.00","0.5938"
"200704","2020","03/15/2021","119200.00","175000.00","0.6811"
"200268","2020","04/06/2021","203700.00","400000.00","0.5092"
"200379","2020","03/26/2021","99500.00","168000.00","0.5922"
"2020313","2020","07/01/2021","412000.00","677500.00","0.6081"
"200483","2020","05/26/2021","343420.00","798000.00","0.4303"
"200245","2020","11/18/2020","385000.00","610000.00","0.6311"
"200004","2020","10/02/2020","138670.00","275000.00","0.5042"
"200086","2020","08/10/2021","168900.00","352000.00","0.4798"
"20847","2020","06/07/2021","145530.00","373500.00","0.3896"
"201049","2020","06/09/2021","316400.00","350000.00","0.904"
"20061","2020","10/30/2020","160020.00","250000.00","0.64"
"201501","2020","09/09/2021","161000.00","360000.00","0.4472"
"200422","2020","07/26/2021","503430.00","1030900.00","0.4883"
"20008","2020","11/05/2020","116600.00","243000.00","0.4798"
"200195","2020","06/24/2021","197100.00","227853.00","0.865"
"200091","2020","01/05/2021","163640.00","75000.00","2.1818"
"200586","2020","06/15/2021","114400.00","262000.00","0.4366"
"201546","2020","08/05/2021","2296000.00","3762500.00","0.6102"
"200665","2020","07/12/2021","160500.00","300000.00","0.535"
"200401","2020","05/28/2021","183360.00","311000.00","0.5895"
"200532","2020","09/21/2021","363800.00","415000.00","0.8766"
"201018","2020","06/03/2021","136900.00","150000.00","0.9126"
"200901","2020","06/17/2021","100500.00","182500.00","0.5506"
"201212","2020","06/17/2021","567770.00","1490000.00","0.381"
"200506","2020","02/22/2021","106680.00","165000.00","0.6465"
"200763","2020","03/23/2021","959910.00","1115000.00","0.8609"
"200267","2020","06/30/2021","92600.00","285000.00","0.324912281"
"201016","2020","05/14/2021","918120.00","1400000.00","0.6558"
"200287","2020","04/20/2021","206990.00","421000.00","0.4916"
"201024","2020","07/19/2021","94900.00","162000.00","0.5858"
"200321","2020","12/21/2020","84980.00","114547.00","0.7418"
"201308","2020","09/28/2021","88400.00","184900.00","0.478"
"200526","2020","08/23/2021","265160.00","466000.00","0.569"
"201278","2020","09/07/2021","61460.00","125000.00","0.4916"
"200048","2020","12/30/2020","290610.00","445000.00","0.653"
"200761","2020","03/23/2021","1242500.00","1875000.00","0.6626"
"20000078","2020","11/20/2020","187170.00","345000.00","0.5425"
"20513","2020","05/04/2021","73340.00","180000.00","0.407444444"
"2020148","2020","02/02/2021","180200.00","296000.00","0.6087"
"200116","2020","03/12/2021","428000.00","1080000.00","0.396296296"
"20099","2020","02/11/2021","146580.00","315000.00","0.4653"
"200054","2020","10/27/2020","149450.00","249900.00","0.598"
"2020098","2020","12/15/2020","142700.00","259000.00","0.5509"
"20004","2020","10/13/2020","175540.00","250000.00","0.7021"
"200394","2020","03/15/2021","91680.00","160000.00","0.573"
"200853","2020","06/04/2021","84200.00","150000.00","0.5613"
"200106","2020","11/13/2020","585700.00","985000.00","0.5946"
"20376","2020","06/24/2021","119832.00","619423.00","0.1934"
"2000490","2020","08/30/2021","186320.00","242500.00","0.7683"
"20000172","2020","02/16/2021","230610.00","500000.00","0.4612"
"200106","2020","12/02/2020","313810.00","425000.00","0.7383"
"200354","2020","06/01/2021","185700.00","410000.00","0.4529"
"201289","2020","08/02/2021","139300.00","230000.00","0.6056"
"201006","2020","10/06/2020","89600.00","155000.00","0.578064516"
"201260","2020","09/02/2021","201530.00","375000.00","0.5374"
"201072","2020","07/30/2021","129200.00","270000.00","0.4785"
"2020222","2020","04/12/2021","168300.00","240000.00","0.7012"
"200189","2020","12/04/2020","102970.00","188000.00","0.5477"
"200080","2020","05/20/2021","41000.00","65000.00","0.6307"
"20855","2020","06/08/2021","37595.00","78000.00","0.4819"
"20138","2020","04/05/2021","50960.00","86000.00","0.5925"
"200559","2020","07/22/2021","196170.00","422000.00","0.4648"
"20000029","2020","10/20/2020","166530.00","300000.00","0.5551"
"2000184","2020","02/16/2021","380070.00","699900.00","0.543"
"10201","2001","07/01/2002","107010.00","227000.00","0.471409692"
"200244","2020","04/15/2021","58590.00","4500.00","13.02"
"200840","2020","06/01/2021","138900.00","155000.00","0.8961"
"200558","2020","06/22/2021","61810.00","120000.00","0.515"
"200310","2020","01/26/2021","121400.00","206000.00","0.5893"
"200125","2020","12/01/2020","152050.00","264000.00","0.5759"
"200011","2020","10/13/2020","93800.00","175000.00","0.536"
"201207","2020","09/01/2021","145800.00","300000.00","0.486"
"200032","2020","10/19/2020","209400.00","475000.00","0.4408"
"200030","2020","03/09/2021","666600.00","1046945.00","0.6367"
"200353","2020","12/10/2020","1157450.00","2225000.00","0.5202"
"201058","2020","05/24/2021","687890.00","940000.00","0.7317"
"200056","2020","10/13/2020","1284500.00","1200000.00","1.0704"
"200220","2020","07/19/2021","330900.00","605000.00","0.5469"
